Altitude                 Rho                      Temperture               Pressure                 SpeedOfSound             
98.000000                1.238179                 288.776020               102582.895806            340.632067               
99.000000                1.238297                 288.782510               102595.013910            340.635894               
100.000000               1.238415                 288.789000               102607.133172            340.639722               
101.000000               1.238534                 288.795490               102619.253594            340.643550               
102.000000               1.238652                 288.801980               102631.375175            340.647377               
103.000000               1.238771                 288.808470               102643.497915            340.651205               
104.000000               1.238889                 288.814960               102655.621815            340.655032               
105.000000               1.239008                 288.821450               102667.746874            340.658860               
106.000000               1.239126                 288.827940               102679.873093            340.662687               
107.000000               1.239245                 288.834430               102692.000472            340.666514               
108.000000               1.239363                 288.840920               102704.129011            340.670342               
109.000000               1.239482                 288.847410               102716.258709            340.674169               
110.000000               1.239600                 288.853900               102728.389568            340.677996               
111.000000               1.239719                 288.860390               102740.521586            340.681823               
112.000000               1.239837                 288.866880               102752.654765            340.685650               
113.000000               1.239956                 288.873370               102764.789103            340.689477               
114.000000               1.240075                 288.879860               102776.924603            340.693305               
115.000000               1.240193                 288.886350               102789.061262            340.697132               
116.000000               1.240312                 288.892840               102801.199082            340.700958               
117.000000               1.240430                 288.899330               102813.338063            340.704785               
118.000000               1.240549                 288.905820               102825.478204            340.708612               
119.000000               1.240668                 288.912310               102837.619506            340.712439               
120.000000               1.240786                 288.918800               102849.761969            340.716266               
121.000000               1.240905                 288.925290               102861.905592            340.720093               
122.000000               1.241023                 288.931780               102874.050377            340.723919               
123.000000               1.241142                 288.938270               102886.196323            340.727746               
124.000000               1.241261                 288.944760               102898.343430            340.731573               
125.000000               1.241379                 288.951250               102910.491698            340.735399               
126.000000               1.241498                 288.957740               102922.641128            340.739226               
127.000000               1.241617                 288.964230               102934.791719            340.743052               
128.000000               1.241735                 288.970720               102946.943471            340.746879               
129.000000               1.241854                 288.977210               102959.096385            340.750705               
130.000000               1.241973                 288.983700               102971.250461            340.754531               
131.000000               1.242092                 288.990190               102983.405698            340.758358               
132.000000               1.242210                 288.996680               102995.562098            340.762184               
133.000000               1.242329                 289.003170               103007.719659            340.766010               
134.000000               1.242448                 289.009660               103019.878382            340.769836               
135.000000               1.242566                 289.016150               103032.038267            340.773663               
136.000000               1.242685                 289.022640               103044.199315            340.777489               
137.000000               1.242804                 289.029130               103056.361525            340.781315               
138.000000               1.242923                 289.035620               103068.524897            340.785141               
139.000000               1.243042                 289.042110               103080.689432            340.788967               
140.000000               1.243160                 289.048600               103092.855129            340.792793               
141.000000               1.243279                 289.055090               103105.021988            340.796618               
142.000000               1.243398                 289.061580               103117.190011            340.800444               
143.000000               1.243517                 289.068070               103129.359196            340.804270               
144.000000               1.243636                 289.074560               103141.529544            340.808096               
145.000000               1.243754                 289.081050               103153.701055            340.811922               
146.000000               1.243873                 289.087540               103165.873729            340.815747               
147.000000               1.243992                 289.094030               103178.047566            340.819573               
148.000000               1.244111                 289.100520               103190.222567            340.823398               
149.000000               1.244230                 289.107010               103202.398730            340.827224               
150.000000               1.244349                 289.113500               103214.576057            340.831049               
151.000000               1.244468                 289.119990               103226.754548            340.834875               
152.000000               1.244587                 289.126480               103238.934202            340.838700               
153.000000               1.244705                 289.132970               103251.115020            340.842526               
154.000000               1.244824                 289.139460               103263.297001            340.846351               
155.000000               1.244943                 289.145950               103275.480146            340.850176               
156.000000               1.245062                 289.152440               103287.664455            340.854002               
157.000000               1.245181                 289.158930               103299.849928            340.857827               
158.000000               1.245300                 289.165420               103312.036565            340.861652               
159.000000               1.245419                 289.171910               103324.224366            340.865477               
160.000000               1.245538                 289.178400               103336.413332            340.869302               
161.000000               1.245657                 289.184890               103348.603462            340.873127               
162.000000               1.245776                 289.191380               103360.794756            340.876952               
163.000000               1.245895                 289.197870               103372.987214            340.880777               
164.000000               1.246014                 289.204360               103385.180838            340.884602               
165.000000               1.246133                 289.210850               103397.375625            340.888427               
166.000000               1.246252                 289.217340               103409.571578            340.892252               
167.000000               1.246371                 289.223830               103421.768695            340.896076               
168.000000               1.246490                 289.230320               103433.966978            340.899901               
169.000000               1.246609                 289.236810               103446.166425            340.903726               
170.000000               1.246728                 289.243300               103458.367037            340.907550               
171.000000               1.246847                 289.249790               103470.568815            340.911375               
172.000000               1.246966                 289.256280               103482.771757            340.915200               
173.000000               1.247085                 289.262770               103494.975865            340.919024               
174.000000               1.247204                 289.269260               103507.181139            340.922849               
175.000000               1.247324                 289.275750               103519.387578            340.926673               
176.000000               1.247443                 289.282240               103531.595183            340.930497               
177.000000               1.247562                 289.288730               103543.803953            340.934322               
178.000000               1.247681                 289.295220               103556.013889            340.938146               
179.000000               1.247800                 289.301710               103568.224991            340.941970               
180.000000               1.247919                 289.308200               103580.437258            340.945794               
181.000000               1.248038                 289.314690               103592.650692            340.949619               
182.000000               1.248157                 289.321180               103604.865292            340.953443               
183.000000               1.248277                 289.327670               103617.081058            340.957267               
184.000000               1.248396                 289.334160               103629.297990            340.961091               
185.000000               1.248515                 289.340650               103641.516089            340.964915               
186.000000               1.248634                 289.347140               103653.735354            340.968739               
187.000000               1.248753                 289.353630               103665.955786            340.972563               
188.000000               1.248873                 289.360120               103678.177384            340.976387               
189.000000               1.248992                 289.366610               103690.400149            340.980210               
190.000000               1.249111                 289.373100               103702.624081            340.984034               
191.000000               1.249230                 289.379590               103714.849179            340.987858               
192.000000               1.249350                 289.386080               103727.075445            340.991682               
