FlightTime [s]           Gamma                    Chi                      
1.670000                 0.001676                 0.000017                 
1.680000                 0.001670                 0.000018                 
1.690000                 0.001664                 0.000018                 
1.700000                 0.001659                 0.000018                 
1.710000                 0.001655                 0.000018                 
1.720000                 0.001652                 0.000019                 
1.730000                 0.001649                 0.000019                 
1.740000                 0.001647                 0.000019                 
1.750000                 0.001646                 0.000019                 
1.760000                 0.001646                 0.000020                 
1.770000                 0.001646                 0.000020                 
1.780000                 0.001647                 0.000020                 
1.790000                 0.001649                 0.000020                 
1.800000                 0.001652                 0.000021                 
1.810000                 0.001655                 0.000021                 
1.820000                 0.001660                 0.000021                 
1.830000                 0.001665                 0.000021                 
1.840000                 0.001671                 0.000022                 
1.850000                 0.001677                 0.000022                 
1.860000                 0.001684                 0.000022                 
1.870000                 0.001692                 0.000022                 
1.880000                 0.001701                 0.000023                 
1.890000                 0.001711                 0.000023                 
1.900000                 0.001721                 0.000023                 
1.910000                 0.001731                 0.000024                 
1.920000                 0.001743                 0.000024                 
1.930000                 0.001755                 0.000024                 
1.940000                 0.001767                 0.000024                 
1.950000                 0.001780                 0.000025                 
1.960000                 0.001794                 0.000025                 
1.970000                 0.001808                 0.000025                 
1.980000                 0.001822                 0.000025                 
1.990000                 0.001837                 0.000026                 
2.000000                 0.001853                 0.000026                 
2.010000                 0.001868                 0.000026                 
2.020000                 0.001884                 0.000027                 
2.030000                 0.001901                 0.000027                 
2.040000                 0.001917                 0.000027                 
2.050000                 0.001934                 0.000028                 
2.060000                 0.001951                 0.000028                 
2.070000                 0.001968                 0.000028                 
2.080000                 0.001985                 0.000028                 
2.090000                 0.002003                 0.000029                 
2.100000                 0.002020                 0.000029                 
2.110000                 0.002037                 0.000029                 
2.120000                 0.002054                 0.000030                 
2.130000                 0.002072                 0.000030                 
2.140000                 0.002089                 0.000030                 
2.150000                 0.002106                 0.000031                 
2.160000                 0.002123                 0.000031                 
2.170000                 0.002139                 0.000031                 
2.180000                 0.002156                 0.000032                 
2.190000                 0.002172                 0.000032                 
2.200000                 0.002188                 0.000032                 
2.210000                 0.002204                 0.000033                 
2.220000                 0.002219                 0.000033                 
2.230000                 0.002234                 0.000033                 
2.240000                 0.002249                 0.000034                 
2.250000                 0.002263                 0.000034                 
2.260000                 0.002277                 0.000035                 
2.270000                 0.002291                 0.000035                 
2.280000                 0.002304                 0.000035                 
2.290000                 0.002316                 0.000036                 
2.300000                 0.002328                 0.000036                 
2.310000                 0.002340                 0.000036                 
2.320000                 0.002351                 0.000037                 
2.330000                 0.002362                 0.000037                 
2.340000                 0.002372                 0.000037                 
2.350000                 0.002382                 0.000038                 
2.360000                 0.002391                 0.000038                 
2.370000                 0.002400                 0.000038                 
2.380000                 0.002408                 0.000039                 
2.390000                 0.002416                 0.000039                 
2.400000                 0.002423                 0.000040                 
2.410000                 0.002430                 0.000040                 
2.420000                 0.002436                 0.000040                 
2.430000                 0.002442                 0.000041                 
2.440000                 0.002447                 0.000041                 
2.450000                 0.002452                 0.000041                 
2.460000                 0.002456                 0.000042                 
2.470000                 0.002460                 0.000042                 
2.480000                 0.002464                 0.000043                 
2.490000                 0.002467                 0.000043                 
2.500000                 0.002469                 0.000043                 
2.510000                 0.002472                 0.000044                 
2.520000                 0.002474                 0.000044                 
2.530000                 0.002475                 0.000044                 
2.540000                 0.002476                 0.000045                 
2.550000                 0.002477                 0.000045                 
2.560000                 0.002478                 0.000046                 
2.570000                 0.002478                 0.000046                 
2.580000                 0.002478                 0.000046                 
2.590000                 0.002478                 0.000047                 
2.600000                 0.002478                 0.000047                 
2.610000                 0.002477                 0.000048                 
2.620000                 0.002476                 0.000048                 
2.630000                 0.002475                 0.000048                 
2.640000                 0.002474                 0.000049                 
2.650000                 0.002473                 0.000049                 
2.660000                 0.002471                 0.000050                 
2.670000                 0.002470                 0.000050                 
2.680000                 0.002468                 0.000050                 
2.690000                 0.002467                 0.000051                 
2.700000                 0.002465                 0.000051                 
2.710000                 0.002464                 0.000052                 
2.720000                 0.002462                 0.000052                 
2.730000                 0.002461                 0.000052                 
2.740000                 0.002460                 0.000053                 
2.750000                 0.002458                 0.000053                 
2.760000                 0.002457                 0.000054                 
2.770000                 0.002456                 0.000054                 
2.780000                 0.002455                 0.000054                 
2.790000                 0.002454                 0.000055                 
2.800000                 0.002453                 0.000055                 
2.810000                 0.002453                 0.000056                 
2.820000                 0.002452                 0.000056                 
2.830000                 0.002452                 0.000056                 
2.840000                 0.002452                 0.000057                 
2.850000                 0.002452                 0.000057                 
2.860000                 0.002453                 0.000058                 
2.870000                 0.002454                 0.000058                 
2.880000                 0.002454                 0.000059                 
2.890000                 0.002456                 0.000059                 
2.900000                 0.002457                 0.000060                 
2.910000                 0.002459                 0.000060                 
2.920000                 0.002461                 0.000060                 
2.930000                 0.002463                 0.000061                 
2.940000                 0.002465                 0.000061                 
2.950000                 0.002468                 0.000062                 
2.960000                 0.002471                 0.000062                 
2.970000                 0.002474                 0.000063                 
2.980000                 0.002478                 0.000063                 
2.990000                 0.002481                 0.000064                 
3.000000                 0.002485                 0.000064                 
3.010000                 0.002490                 0.000064                 
3.020000                 0.002494                 0.000065                 
3.030000                 0.002499                 0.000065                 
3.040000                 0.002504                 0.000066                 
3.050000                 0.002509                 0.000066                 
3.060000                 0.002514                 0.000067                 
3.070000                 0.002520                 0.000067                 
3.080000                 0.002526                 0.000068                 
3.090000                 0.002532                 0.000068                 
3.100000                 0.002538                 0.000069                 
3.110000                 0.002544                 0.000069                 
3.120000                 0.002551                 0.000070                 
3.130000                 0.002558                 0.000070                 
3.140000                 0.002565                 0.000071                 
3.150000                 0.002572                 0.000071                 
3.160000                 0.002579                 0.000072                 
3.170000                 0.002586                 0.000072                 
3.180000                 0.002593                 0.000073                 
3.190000                 0.002601                 0.000073                 
3.200000                 0.002608                 0.000074                 
3.210000                 0.002616                 0.000074                 
3.220000                 0.002623                 0.000075                 
3.230000                 0.002631                 0.000075                 
3.240000                 0.002639                 0.000076                 
3.250000                 0.002646                 0.000076                 
3.260000                 0.002654                 0.000077                 
3.270000                 0.002662                 0.000077                 
3.280000                 0.002669                 0.000078                 
3.290000                 0.002677                 0.000078                 
3.300000                 0.002684                 0.000079                 
3.310000                 0.002692                 0.000079                 
3.320000                 0.002699                 0.000080                 
3.330000                 0.002707                 0.000080                 
3.340000                 0.002714                 0.000081                 
3.350000                 0.002721                 0.000081                 
3.360000                 0.002728                 0.000082                 
3.370000                 0.002735                 0.000082                 
3.380000                 0.002742                 0.000083                 
3.390000                 0.002749                 0.000083                 
3.400000                 0.002755                 0.000084                 
3.410000                 0.002762                 0.000084                 
3.420000                 0.002768                 0.000085                 
3.430000                 0.002774                 0.000085                 
3.440000                 0.002780                 0.000086                 
3.450000                 0.002786                 0.000086                 
3.460000                 0.002792                 0.000087                 
3.470000                 0.002797                 0.000088                 
3.480000                 0.002803                 0.000088                 
3.490000                 0.002808                 0.000089                 
3.500000                 0.002813                 0.000089                 
3.510000                 0.002817                 0.000090                 
3.520000                 0.002822                 0.000090                 
3.530000                 0.002826                 0.000091                 
3.540000                 0.002831                 0.000091                 
3.550000                 0.002835                 0.000092                 
3.560000                 0.002839                 0.000092                 
3.570000                 0.002842                 0.000093                 
3.580000                 0.002846                 0.000094                 
3.590000                 0.002849                 0.000094                 
3.600000                 0.002852                 0.000095                 
3.610000                 0.002855                 0.000095                 
3.620000                 0.002858                 0.000096                 
3.630000                 0.002861                 0.000096                 
3.640000                 0.002864                 0.000097                 
3.650000                 0.002866                 0.000097                 
3.660000                 0.002868                 0.000098                 
3.670000                 0.002870                 0.000099                 
3.680000                 0.002872                 0.000099                 
3.690000                 0.002874                 0.000100                 
3.700000                 0.002876                 0.000100                 
3.710000                 0.002877                 0.000101                 
3.720000                 0.002879                 0.000101                 
3.730000                 0.002880                 0.000102                 
3.740000                 0.002882                 0.000103                 
3.750000                 0.002883                 0.000103                 
3.760000                 0.002884                 0.000104                 
3.770000                 0.002885                 0.000104                 
3.780000                 0.002886                 0.000105                 
3.790000                 0.002887                 0.000105                 
3.800000                 0.002888                 0.000106                 
3.810000                 0.002889                 0.000107                 
3.820000                 0.002890                 0.000107                 
3.830000                 0.002891                 0.000108                 
3.840000                 0.002891                 0.000108                 
3.850000                 0.002892                 0.000109                 
3.860000                 0.002893                 0.000110                 
3.870000                 0.002894                 0.000110                 
3.880000                 0.002894                 0.000111                 
3.890000                 0.002895                 0.000111                 
3.900000                 0.002896                 0.000112                 
3.910000                 0.002897                 0.000113                 
