FlightTime               Phi_com                  Theta_com                
0.000000                 0.000000                 0.053993                 
1.000000                 0.000000                 0.053993                 
2.000000                 0.000000                 0.053993                 
3.000000                 0.000000                 0.053993                 
4.000000                 0.000000                 0.053993                 
5.000000                 0.000000                 0.053993                 
6.000000                 0.000000                 0.053993                 
7.000000                 0.000000                 0.053993                 
8.000000                 0.000000                 0.053993                 
9.000000                 0.000000                 0.053993                 
10.000000                0.000000                 0.053993                 
11.000000                0.000000                 0.053993                 
12.000000                0.000000                 0.053993                 
13.000000                0.000000                 0.053993                 
14.000000                0.000000                 0.053993                 
15.000000                0.000000                 0.053993                 
16.000000                0.000000                 0.053993                 
17.000000                0.000000                 0.053993                 
18.000000                0.000000                 0.053993                 
19.000000                0.000000                 0.053993                 
20.000000                0.000000                 0.053993                 
21.000000                0.000000                 0.053993                 
22.000000                0.000000                 0.053993                 
23.000000                0.000000                 0.053993                 
24.000000                0.000000                 0.053993                 
25.000000                0.000000                 0.053993                 
26.000000                0.000000                 0.053993                 
27.000000                0.000000                 0.053993                 
28.000000                0.000000                 0.053993                 
29.000000                0.000000                 0.053993                 
30.000000                0.000000                 0.053993                 
31.000000                0.000000                 0.053993                 
32.000000                0.000000                 0.053993                 
33.000000                0.000000                 0.053993                 
34.000000                0.000000                 0.053993                 
35.000000                0.000000                 0.053993                 
36.000000                0.000000                 0.053993                 
37.000000                0.000000                 0.053993                 
38.000000                0.000000                 0.053993                 
39.000000                0.000000                 0.053993                 
40.000000                0.000000                 0.053993                 
41.000000                0.000000                 0.053993                 
42.000000                0.000000                 0.053993                 
43.000000                0.000000                 0.053993                 
44.000000                0.000000                 0.053993                 
45.000000                0.000000                 0.053993                 
46.000000                0.000000                 0.053993                 
47.000000                0.000000                 0.053993                 
48.000000                0.000000                 0.053993                 
49.000000                0.000000                 0.053993                 
50.000000                0.000000                 0.053993                 
51.000000                0.000000                 0.053993                 
52.000000                0.000000                 0.053993                 
53.000000                0.000000                 0.053993                 
54.000000                0.000000                 0.053993                 
55.000000                0.000000                 0.053993                 
56.000000                0.000000                 0.053993                 
57.000000                0.000000                 0.053993                 
58.000000                0.000000                 0.053993                 
59.000000                0.000000                 0.053993                 
60.000000                0.000000                 0.053993                 
61.000000                0.000000                 0.053993                 
62.000000                0.000000                 0.053993                 
63.000000                0.000000                 0.053993                 
64.000000                0.000000                 0.053993                 
65.000000                0.000000                 0.053993                 
66.000000                0.000000                 0.053993                 
67.000000                0.000000                 0.053993                 
68.000000                0.000000                 0.053993                 
69.000000                0.000000                 0.053993                 
70.000000                0.000000                 0.053993                 
71.000000                0.000000                 0.053993                 
72.000000                0.000000                 0.053993                 
73.000000                0.000000                 0.053993                 
74.000000                0.000000                 0.053993                 
75.000000                0.000000                 0.053993                 
76.000000                0.000000                 0.053993                 
77.000000                0.000000                 0.053993                 
78.000000                0.000000                 0.053993                 
79.000000                0.000000                 0.053993                 
80.000000                0.000000                 0.053993                 
81.000000                0.000000                 0.053993                 
82.000000                0.000000                 0.053993                 
83.000000                0.000000                 0.053993                 
84.000000                0.000000                 0.053993                 
85.000000                0.000000                 0.053993                 
86.000000                0.000000                 0.053993                 
87.000000                0.000000                 0.053993                 
88.000000                0.000000                 0.053993                 
89.000000                0.000000                 0.053993                 
90.000000                0.000000                 0.053993                 
91.000000                0.000000                 0.053993                 
92.000000                0.000000                 0.053993                 
93.000000                0.000000                 0.053993                 
94.000000                0.000000                 0.053993                 
95.000000                0.000000                 0.053993                 
96.000000                0.000000                 0.053993                 
97.000000                0.000000                 0.053993                 
98.000000                0.000000                 0.053993                 
99.000000                0.000000                 0.053993                 
100.000000               0.000000                 0.053993                 
101.000000               0.000000                 0.053993                 
102.000000               0.000000                 0.053993                 
103.000000               0.000000                 0.053993                 
104.000000               0.000000                 0.053993                 
105.000000               0.000000                 0.053993                 
106.000000               0.000000                 0.053993                 
107.000000               0.000000                 0.053993                 
108.000000               0.000000                 0.053993                 
109.000000               0.000000                 0.053993                 
110.000000               0.000000                 0.053993                 
111.000000               0.000000                 0.053993                 
112.000000               0.000000                 0.053993                 
113.000000               0.000000                 0.053993                 
114.000000               0.000000                 0.053993                 
115.000000               0.000000                 0.053993                 
116.000000               0.000000                 0.053993                 
117.000000               0.000000                 0.053993                 
118.000000               0.000000                 0.053993                 
119.000000               0.000000                 0.053993                 
120.000000               0.000000                 0.053993                 
121.000000               0.000000                 0.053993                 
122.000000               0.000000                 0.053993                 
123.000000               0.000000                 0.053993                 
124.000000               0.000000                 0.053993                 
125.000000               0.000000                 0.053993                 
126.000000               0.000000                 0.053993                 
127.000000               0.000000                 0.053993                 
128.000000               0.000000                 0.053993                 
129.000000               0.000000                 0.053993                 
130.000000               0.000000                 0.053993                 
131.000000               0.000000                 0.053993                 
132.000000               0.000000                 0.053993                 
133.000000               0.000000                 0.053993                 
134.000000               0.000000                 0.053993                 
135.000000               0.000000                 0.053993                 
136.000000               0.000000                 0.053993                 
137.000000               0.000000                 0.053993                 
138.000000               0.000000                 0.053993                 
139.000000               0.000000                 0.053993                 
140.000000               0.000000                 0.053993                 
141.000000               0.000000                 0.053993                 
142.000000               0.000000                 0.053993                 
143.000000               0.000000                 0.053993                 
144.000000               0.000000                 0.053993                 
145.000000               0.000000                 0.053993                 
146.000000               0.000000                 0.053993                 
147.000000               0.000000                 0.053993                 
148.000000               0.000000                 0.053993                 
149.000000               0.000000                 0.053993                 
