FlightTime [s]           F_x                      F_y                      F_z                      M_x                      M_x                      M_y                      M_z                      
0.560000                 4828.778566              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.570000                 4818.589206              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.580000                 4978.239517              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.590000                 5152.049959              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.600000                 5334.332491              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.610000                 5524.478701              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.620000                 5722.047668              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.630000                 5926.598641              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.640000                 6137.685961              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.650000                 6354.859630              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.660000                 6577.666080              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.670000                 6805.648959              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.680000                 7038.349897              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.690000                 7275.309286              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.700000                 7516.067045              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.710000                 7760.163386              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.720000                 8007.139564              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.730000                 8256.538635              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.740000                 8507.906195              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.750000                 8760.791111              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.760000                 9014.746243              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.770000                 9269.329161              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.780000                 9524.102835              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.790000                 9778.636328              0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.800000                 10032.505459             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.810000                 10285.293466             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.820000                 10536.591635             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.830000                 10785.999924             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.840000                 11033.127565             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.850000                 11277.593640             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.860000                 11519.027640             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.870000                 11757.070006             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.880000                 11991.372639             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.890000                 12221.599387             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.900000                 12447.426514             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.910000                 12668.543134             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.920000                 12884.651620             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.930000                 13095.467995             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.940000                 13300.722279             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.950000                 13500.158818             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.960000                 13693.536582             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.970000                 13880.629427             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.980000                 14061.226336             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
0.990000                 14235.131618             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.000000                 14402.165085             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.010000                 14562.162190             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.020000                 14714.974142             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.030000                 14860.467978             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.040000                 14998.526611             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.050000                 15129.048844             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.060000                 15251.949352             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.070000                 15367.158629             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.080000                 15474.622913             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.090000                 15574.304067             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.100000                 15666.179438             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.110000                 15750.241686             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.120000                 15826.498577             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.130000                 15894.972754             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.140000                 15955.701475             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.150000                 16008.736327             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.160000                 16054.142908             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.170000                 16092.000489             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.180000                 16122.401648             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.190000                 16145.451883             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.200000                 16161.269193             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.210000                 16169.983653             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.220000                 16171.736956             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.230000                 16166.681938             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.240000                 16154.982088             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.250000                 16136.811044             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.260000                 16112.352062             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.270000                 16081.797484             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.280000                 16045.348188             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.290000                 16003.213024             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.300000                 15955.608244             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.310000                 15902.756925             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.320000                 15844.888381             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.330000                 15782.237571             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.340000                 15715.044503             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.350000                 15643.553640             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.360000                 15568.013295             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.370000                 15488.675038             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.380000                 15405.793094             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.390000                 15319.623754             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.400000                 15230.424779             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.410000                 15138.454826             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.420000                 15043.972863             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.430000                 14947.237606             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.440000                 14848.506959             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.450000                 14748.037469             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.460000                 14646.083790             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.470000                 14542.898159             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.480000                 14438.729892             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.490000                 14333.824890             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.500000                 14228.425161             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.510000                 14122.768364             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.520000                 14017.087369             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.530000                 13911.609830             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.540000                 13806.557786             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.550000                 13702.147278             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.560000                 13598.587986             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.570000                 13496.082891             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.580000                 13394.827952             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.590000                 13295.011816             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.600000                 13196.815537             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
1.610000                 13100.412331             0.000000                 0.000000                 -0.000000                -0.000000                0.000000                 0.000000                 
