Flight Time              x_NED                    y_NED                    z_NED                    
1.110000                 199.800008               0.000000                 -5250.000044             
1.120000                 201.600008               0.000000                 -5250.000045             
1.130000                 203.400008               0.000000                 -5250.000046             
1.140000                 205.200008               0.000000                 -5250.000046             
1.150000                 207.000008               0.000000                 -5250.000047             
1.160000                 208.800008               0.000000                 -5250.000048             
1.170000                 210.600008               0.000000                 -5250.000048             
1.180000                 212.400009               0.000000                 -5250.000049             
1.190000                 214.200009               0.000000                 -5250.000050             
1.200000                 216.000009               0.000000                 -5250.000050             
1.210000                 217.800009               0.000000                 -5250.000051             
1.220000                 219.600009               0.000000                 -5250.000052             
1.230000                 221.400009               0.000000                 -5250.000052             
1.240000                 223.200009               0.000000                 -5250.000053             
1.250000                 225.000009               0.000000                 -5250.000054             
1.260000                 226.800009               0.000000                 -5250.000055             
1.270000                 228.600009               0.000000                 -5250.000055             
1.280000                 230.400009               0.000000                 -5250.000056             
1.290000                 232.200009               0.000000                 -5250.000057             
1.300000                 234.000009               0.000000                 -5250.000058             
1.310000                 235.800009               0.000000                 -5250.000058             
1.320000                 237.600009               0.000000                 -5250.000059             
1.330000                 239.400009               0.000000                 -5250.000060             
1.340000                 241.200009               0.000000                 -5250.000061             
1.350000                 243.000010               0.000000                 -5250.000061             
1.360000                 244.800010               0.000000                 -5250.000062             
1.370000                 246.600010               0.000000                 -5250.000063             
1.380000                 248.400010               0.000000                 -5250.000064             
1.390000                 250.200010               0.000000                 -5250.000064             
1.400000                 252.000010               0.000000                 -5250.000065             
1.410000                 253.800010               0.000000                 -5250.000066             
1.420000                 255.600010               0.000000                 -5250.000067             
1.430000                 257.400010               0.000000                 -5250.000067             
1.440000                 259.200010               0.000000                 -5250.000068             
1.450000                 261.000010               0.000000                 -5250.000069             
1.460000                 262.800010               0.000000                 -5250.000070             
1.470000                 264.600010               0.000000                 -5250.000071             
1.480000                 266.400010               0.000000                 -5250.000071             
1.490000                 268.200010               0.000000                 -5250.000072             
1.500000                 270.000010               0.000000                 -5250.000073             
1.510000                 271.800010               0.000000                 -5250.000074             
1.520000                 273.600010               0.000000                 -5250.000075             
1.530000                 275.400010               0.000000                 -5250.000076             
1.540000                 277.200011               0.000000                 -5250.000076             
1.550000                 279.000011               0.000000                 -5250.000077             
1.560000                 280.800011               0.000000                 -5250.000078             
1.570000                 282.600011               0.000000                 -5250.000079             
1.580000                 284.400011               0.000000                 -5250.000080             
1.590000                 286.200011               0.000000                 -5250.000081             
1.600000                 288.000011               0.000000                 -5250.000081             
1.610000                 289.800011               0.000000                 -5250.000082             
1.620000                 291.600011               0.000000                 -5250.000083             
1.630000                 293.400011               0.000000                 -5250.000084             
1.640000                 295.200011               0.000000                 -5250.000085             
1.650000                 297.000011               0.000000                 -5250.000086             
1.660000                 298.800011               0.000000                 -5250.000087             
1.670000                 300.600011               0.000000                 -5250.000088             
1.680000                 302.400011               0.000000                 -5250.000088             
1.690000                 304.200011               0.000000                 -5250.000089             
1.700000                 306.000011               0.000000                 -5250.000090             
1.710000                 307.800011               0.000000                 -5250.000091             
1.720000                 309.600011               0.000000                 -5250.000092             
1.730000                 311.400011               0.000000                 -5250.000093             
1.740000                 313.200012               0.000000                 -5250.000094             
1.750000                 315.000012               0.000000                 -5250.000095             
1.760000                 316.800012               0.000000                 -5250.000096             
1.770000                 318.600012               0.000000                 -5250.000097             
1.780000                 320.400012               0.000000                 -5250.000098             
1.790000                 322.200012               0.000000                 -5250.000099             
1.800000                 324.000012               0.000000                 -5250.000100             
1.810000                 325.800012               0.000000                 -5250.000100             
1.820000                 327.600012               0.000000                 -5250.000101             
1.830000                 329.400012               0.000000                 -5250.000102             
1.840000                 331.200012               0.000000                 -5250.000103             
1.850000                 333.000012               0.000000                 -5250.000104             
1.860000                 334.800012               0.000000                 -5250.000105             
1.870000                 336.600012               0.000000                 -5250.000106             
1.880000                 338.400012               0.000000                 -5250.000107             
1.890000                 340.200012               0.000000                 -5250.000108             
1.900000                 342.000012               0.000000                 -5250.000109             
1.910000                 343.800012               0.000000                 -5250.000110             
1.920000                 345.600012               0.000000                 -5250.000111             
1.930000                 347.400012               0.000000                 -5250.000112             
1.940000                 349.200013               0.000000                 -5250.000113             
1.950000                 351.000013               0.000000                 -5250.000114             
1.960000                 352.800013               0.000000                 -5250.000115             
1.970000                 354.600013               0.000000                 -5250.000116             
1.980000                 356.400013               0.000000                 -5250.000117             
1.990000                 358.200013               0.000000                 -5250.000118             
2.000000                 360.000013               0.000000                 -5250.000119             
2.010000                 361.800013               0.000000                 -5250.000120             
2.020000                 363.600013               0.000000                 -5250.000121             
2.030000                 365.400013               0.000000                 -5250.000122             
2.040000                 367.200013               0.000000                 -5250.000123             
2.050000                 369.000013               0.000000                 -5250.000124             
2.060000                 370.800013               0.000000                 -5250.000125             
2.070000                 372.600013               0.000000                 -5250.000126             
2.080000                 374.400013               0.000000                 -5250.000127             
2.090000                 376.200013               0.000000                 -5250.000128             
2.100000                 378.000013               0.000000                 -5250.000129             
2.110000                 379.800013               0.000000                 -5250.000130             
2.120000                 381.600014               0.000000                 -5250.000131             
2.130000                 383.400014               0.000000                 -5250.000132             
2.140000                 385.200014               0.000000                 -5250.000133             
2.150000                 387.000014               0.000000                 -5250.000134             
2.160000                 388.800014               0.000000                 -5250.000135             
2.170000                 390.600014               0.000000                 -5250.000136             
2.180000                 392.400014               0.000000                 -5250.000137             
2.190000                 394.200014               0.000000                 -5250.000138             
2.200000                 396.000014               0.000000                 -5250.000139             
2.210000                 397.800014               0.000000                 -5250.000141             
2.220000                 399.600014               0.000000                 -5250.000142             
2.230000                 401.400014               0.000000                 -5250.000143             
2.240000                 403.200014               0.000000                 -5250.000144             
2.250000                 405.000014               0.000000                 -5250.000145             
2.260000                 406.800014               0.000000                 -5250.000146             
2.270000                 408.600014               0.000000                 -5250.000147             
2.280000                 410.400014               0.000000                 -5250.000148             
2.290000                 412.200014               0.000000                 -5250.000149             
2.300000                 414.000014               0.000000                 -5250.000150             
2.310000                 415.800015               0.000000                 -5250.000151             
2.320000                 417.600015               0.000000                 -5250.000152             
2.330000                 419.400015               0.000000                 -5250.000153             
2.340000                 421.200015               0.000000                 -5250.000154             
2.350000                 423.000015               0.000000                 -5250.000155             
2.360000                 424.800015               0.000000                 -5250.000156             
2.370000                 426.600015               0.000000                 -5250.000157             
2.380000                 428.400015               0.000000                 -5250.000159             
2.390000                 430.200015               0.000000                 -5250.000160             
2.400000                 432.000015               0.000000                 -5250.000161             
2.410000                 433.800015               0.000000                 -5250.000162             
2.420000                 435.600015               0.000000                 -5250.000163             
2.430000                 437.400015               0.000000                 -5250.000164             
2.440000                 439.200015               0.000000                 -5250.000165             
2.450000                 441.000015               0.000000                 -5250.000166             
2.460000                 442.800015               0.000000                 -5250.000167             
2.470000                 444.600015               0.000000                 -5250.000168             
2.480000                 446.400015               0.000000                 -5250.000169             
2.490000                 448.200015               0.000000                 -5250.000171             
2.500000                 450.000016               0.000000                 -5250.000172             
2.510000                 451.800016               0.000000                 -5250.000173             
2.520000                 453.600016               0.000000                 -5250.000174             
2.530000                 455.400016               0.000000                 -5250.000175             
2.540000                 457.200016               0.000000                 -5250.000176             
2.550000                 459.000016               0.000000                 -5250.000177             
2.560000                 460.800016               0.000000                 -5250.000178             
2.570000                 462.600016               0.000000                 -5250.000179             
2.580000                 464.400016               0.000000                 -5250.000181             
2.590000                 466.200016               0.000000                 -5250.000182             
2.600000                 468.000016               0.000000                 -5250.000183             
2.610000                 469.800016               0.000000                 -5250.000184             
2.620000                 471.600016               0.000000                 -5250.000185             
2.630000                 473.400016               0.000000                 -5250.000186             
2.640000                 475.200016               0.000000                 -5250.000187             
2.650000                 477.000016               0.000000                 -5250.000188             
2.660000                 478.800016               0.000000                 -5250.000190             
2.670000                 480.600016               0.000000                 -5250.000191             
2.680000                 482.400016               0.000000                 -5250.000192             
2.690000                 484.200016               0.000000                 -5250.000193             
2.700000                 486.000016               0.000000                 -5250.000194             
2.710000                 487.800017               0.000000                 -5250.000195             
2.720000                 489.600017               0.000000                 -5250.000196             
2.730000                 491.400017               0.000000                 -5250.000198             
2.740000                 493.200017               0.000000                 -5250.000199             
2.750000                 495.000017               0.000000                 -5250.000200             
2.760000                 496.800017               0.000000                 -5250.000201             
2.770000                 498.600017               0.000000                 -5250.000202             
2.780000                 500.400017               0.000000                 -5250.000203             
2.790000                 502.200017               0.000000                 -5250.000205             
2.800000                 504.000017               0.000000                 -5250.000206             
2.810000                 505.800017               0.000000                 -5250.000207             
2.820000                 507.600017               0.000000                 -5250.000208             
2.830000                 509.400017               0.000000                 -5250.000209             
2.840000                 511.200017               0.000000                 -5250.000210             
2.850000                 513.000017               0.000000                 -5250.000212             
2.860000                 514.800017               0.000000                 -5250.000213             
2.870000                 516.600017               0.000000                 -5250.000214             
2.880000                 518.400017               0.000000                 -5250.000215             
2.890000                 520.200017               0.000000                 -5250.000216             
2.900000                 522.000017               0.000000                 -5250.000217             
2.910000                 523.800017               0.000000                 -5250.000219             
2.920000                 525.600017               0.000000                 -5250.000220             
2.930000                 527.400017               0.000000                 -5250.000221             
2.940000                 529.200017               0.000000                 -5250.000222             
2.950000                 531.000017               0.000000                 -5250.000223             
2.960000                 532.800018               0.000000                 -5250.000225             
2.970000                 534.600018               0.000000                 -5250.000226             
2.980000                 536.400018               0.000000                 -5250.000227             
2.990000                 538.200018               0.000000                 -5250.000228             
3.000000                 540.000018               0.000000                 -5250.000229             
3.010000                 541.800018               0.000000                 -5250.000231             
3.020000                 543.600018               0.000000                 -5250.000232             
3.030000                 545.400018               0.000000                 -5250.000233             
3.040000                 547.200018               0.000000                 -5250.000234             
3.050000                 549.000018               0.000000                 -5250.000236             
3.060000                 550.800018               0.000000                 -5250.000237             
3.070000                 552.600018               0.000000                 -5250.000238             
