Eta                      Xi                       Zeta                     Delta                    
0.023108                 0.000685                 0.000399                 0.204529                 
0.023108                 0.000686                 0.000400                 0.204525                 
0.023108                 0.000687                 0.000401                 0.204520                 
0.023108                 0.000687                 0.000403                 0.204516                 
0.023108                 0.000688                 0.000404                 0.204511                 
0.023109                 0.000688                 0.000406                 0.204507                 
0.023109                 0.000689                 0.000407                 0.204503                 
0.023109                 0.000689                 0.000409                 0.204498                 
0.023109                 0.000690                 0.000410                 0.204494                 
0.023109                 0.000691                 0.000411                 0.204489                 
0.023110                 0.000691                 0.000413                 0.204485                 
0.023110                 0.000692                 0.000414                 0.204481                 
0.023110                 0.000692                 0.000416                 0.204477                 
0.023110                 0.000693                 0.000417                 0.204472                 
0.023110                 0.000694                 0.000418                 0.204468                 
0.023111                 0.000694                 0.000420                 0.204464                 
0.023111                 0.000695                 0.000421                 0.204460                 
0.023111                 0.000695                 0.000422                 0.204455                 
0.023111                 0.000696                 0.000423                 0.204451                 
0.023111                 0.000696                 0.000424                 0.204447                 
0.023112                 0.000697                 0.000425                 0.204443                 
0.023112                 0.000697                 0.000426                 0.204439                 
0.023112                 0.000697                 0.000427                 0.204435                 
0.023112                 0.000698                 0.000428                 0.204431                 
0.023112                 0.000698                 0.000429                 0.204427                 
0.023113                 0.000698                 0.000430                 0.204423                 
0.023113                 0.000699                 0.000430                 0.204419                 
0.023113                 0.000699                 0.000431                 0.204415                 
0.023113                 0.000699                 0.000431                 0.204411                 
0.023113                 0.000699                 0.000432                 0.204407                 
0.023113                 0.000699                 0.000432                 0.204403                 
0.023114                 0.000700                 0.000433                 0.204399                 
0.023114                 0.000700                 0.000433                 0.204395                 
0.023114                 0.000700                 0.000433                 0.204391                 
0.023114                 0.000700                 0.000433                 0.204387                 
0.023114                 0.000700                 0.000433                 0.204383                 
0.023114                 0.000700                 0.000433                 0.204379                 
0.023114                 0.000700                 0.000433                 0.204375                 
0.023114                 0.000699                 0.000433                 0.204371                 
0.023114                 0.000699                 0.000433                 0.204367                 
0.023114                 0.000699                 0.000433                 0.204363                 
0.023114                 0.000699                 0.000433                 0.204360                 
0.023114                 0.000699                 0.000432                 0.204356                 
0.023114                 0.000698                 0.000432                 0.204352                 
0.023114                 0.000698                 0.000432                 0.204348                 
0.023114                 0.000698                 0.000431                 0.204344                 
0.023114                 0.000698                 0.000431                 0.204340                 
0.023114                 0.000697                 0.000430                 0.204336                 
0.023114                 0.000697                 0.000430                 0.204332                 
0.023114                 0.000697                 0.000430                 0.204328                 
0.023114                 0.000696                 0.000429                 0.204324                 
0.023114                 0.000696                 0.000429                 0.204321                 
0.023114                 0.000696                 0.000428                 0.204317                 
0.023114                 0.000695                 0.000428                 0.204313                 
0.023114                 0.000695                 0.000427                 0.204309                 
0.023114                 0.000694                 0.000427                 0.204305                 
0.023114                 0.000694                 0.000426                 0.204301                 
0.023114                 0.000694                 0.000426                 0.204297                 
0.023114                 0.000693                 0.000425                 0.204293                 
0.023114                 0.000693                 0.000425                 0.204289                 
0.023113                 0.000693                 0.000425                 0.204285                 
0.023113                 0.000692                 0.000424                 0.204281                 
0.023113                 0.000692                 0.000424                 0.204277                 
0.023113                 0.000692                 0.000424                 0.204273                 
0.023113                 0.000691                 0.000423                 0.204269                 
0.023113                 0.000691                 0.000423                 0.204265                 
0.023113                 0.000691                 0.000423                 0.204261                 
0.023113                 0.000691                 0.000423                 0.204257                 
0.023113                 0.000690                 0.000422                 0.204252                 
0.023113                 0.000690                 0.000422                 0.204248                 
0.023113                 0.000690                 0.000422                 0.204244                 
0.023112                 0.000690                 0.000422                 0.204240                 
0.023112                 0.000690                 0.000422                 0.204236                 
0.023112                 0.000690                 0.000422                 0.204232                 
0.023112                 0.000690                 0.000422                 0.204228                 
0.023112                 0.000689                 0.000423                 0.204224                 
0.023112                 0.000689                 0.000423                 0.204219                 
0.023112                 0.000689                 0.000423                 0.204215                 
0.023112                 0.000689                 0.000423                 0.204211                 
0.023112                 0.000689                 0.000424                 0.204207                 
0.023112                 0.000689                 0.000424                 0.204203                 
0.023112                 0.000689                 0.000424                 0.204199                 
0.023112                 0.000689                 0.000425                 0.204195                 
0.023112                 0.000689                 0.000425                 0.204190                 
0.023112                 0.000689                 0.000426                 0.204186                 
0.023112                 0.000690                 0.000426                 0.204182                 
0.023112                 0.000690                 0.000427                 0.204178                 
0.023112                 0.000690                 0.000427                 0.204174                 
0.023112                 0.000690                 0.000428                 0.204169                 
0.023112                 0.000690                 0.000428                 0.204165                 
0.023112                 0.000690                 0.000429                 0.204161                 
0.023112                 0.000690                 0.000430                 0.204157                 
0.023112                 0.000691                 0.000430                 0.204153                 
0.023112                 0.000691                 0.000431                 0.204149                 
0.023112                 0.000691                 0.000432                 0.204145                 
0.023112                 0.000691                 0.000432                 0.204140                 
0.023112                 0.000691                 0.000433                 0.204136                 
0.023112                 0.000692                 0.000434                 0.204132                 
0.023112                 0.000692                 0.000434                 0.204128                 
0.023113                 0.000692                 0.000435                 0.204124                 
0.023113                 0.000692                 0.000436                 0.204120                 
0.023113                 0.000693                 0.000437                 0.204116                 
0.023113                 0.000693                 0.000437                 0.204112                 
0.023113                 0.000693                 0.000438                 0.204108                 
0.023113                 0.000693                 0.000439                 0.204104                 
0.023113                 0.000693                 0.000439                 0.204100                 
0.023113                 0.000694                 0.000440                 0.204096                 
0.023113                 0.000694                 0.000441                 0.204092                 
0.023113                 0.000694                 0.000441                 0.204088                 
0.023113                 0.000694                 0.000442                 0.204084                 
0.023114                 0.000694                 0.000442                 0.204080                 
0.023114                 0.000695                 0.000443                 0.204076                 
0.023114                 0.000695                 0.000443                 0.204072                 
0.023114                 0.000695                 0.000444                 0.204068                 
0.023114                 0.000695                 0.000444                 0.204064                 
0.023114                 0.000695                 0.000445                 0.204060                 
0.023114                 0.000695                 0.000445                 0.204056                 
0.023114                 0.000695                 0.000446                 0.204052                 
0.023114                 0.000695                 0.000446                 0.204048                 
0.023114                 0.000696                 0.000447                 0.204045                 
0.023114                 0.000696                 0.000447                 0.204041                 
0.023114                 0.000696                 0.000447                 0.204037                 
0.023115                 0.000696                 0.000448                 0.204033                 
0.023115                 0.000696                 0.000448                 0.204029                 
0.023115                 0.000696                 0.000448                 0.204026                 
0.023115                 0.000696                 0.000448                 0.204022                 
0.023115                 0.000696                 0.000449                 0.204018                 
0.023115                 0.000696                 0.000449                 0.204014                 
0.023115                 0.000696                 0.000449                 0.204011                 
0.023115                 0.000696                 0.000449                 0.204007                 
0.023115                 0.000696                 0.000449                 0.204003                 
0.023115                 0.000696                 0.000449                 0.204000                 
0.023115                 0.000696                 0.000449                 0.203996                 
0.023115                 0.000696                 0.000449                 0.203992                 
0.023115                 0.000695                 0.000450                 0.203988                 
0.023115                 0.000695                 0.000450                 0.203985                 
0.023115                 0.000695                 0.000450                 0.203981                 
0.023115                 0.000695                 0.000450                 0.203978                 
0.023115                 0.000695                 0.000450                 0.203974                 
0.023115                 0.000695                 0.000450                 0.203970                 
0.023115                 0.000695                 0.000450                 0.203967                 
0.023115                 0.000695                 0.000450                 0.203963                 
0.023115                 0.000695                 0.000450                 0.203959                 
0.023115                 0.000694                 0.000450                 0.203956                 
0.023115                 0.000694                 0.000450                 0.203952                 
0.023115                 0.000694                 0.000450                 0.203949                 
0.023115                 0.000694                 0.000449                 0.203945                 
0.023115                 0.000694                 0.000449                 0.203941                 
0.023115                 0.000694                 0.000449                 0.203938                 
0.023115                 0.000694                 0.000449                 0.203934                 
0.023115                 0.000694                 0.000449                 0.203931                 
0.023115                 0.000693                 0.000449                 0.203927                 
0.023115                 0.000693                 0.000449                 0.203923                 
0.023115                 0.000693                 0.000449                 0.203920                 
0.023115                 0.000693                 0.000450                 0.203916                 
0.023115                 0.000693                 0.000450                 0.203913                 
0.023115                 0.000693                 0.000450                 0.203909                 
0.023115                 0.000693                 0.000450                 0.203905                 
0.023115                 0.000693                 0.000450                 0.203902                 
0.023115                 0.000693                 0.000450                 0.203898                 
0.023114                 0.000693                 0.000450                 0.203895                 
0.023114                 0.000692                 0.000450                 0.203891                 
0.023114                 0.000692                 0.000450                 0.203887                 
0.023114                 0.000692                 0.000450                 0.203884                 
0.023114                 0.000692                 0.000451                 0.203880                 
0.023114                 0.000692                 0.000451                 0.203877                 
0.023114                 0.000692                 0.000451                 0.203873                 
0.023114                 0.000692                 0.000451                 0.203869                 
0.023114                 0.000692                 0.000451                 0.203866                 
0.023114                 0.000692                 0.000452                 0.203862                 
0.023114                 0.000692                 0.000452                 0.203859                 
0.023114                 0.000692                 0.000452                 0.203855                 
0.023114                 0.000692                 0.000452                 0.203851                 
0.023114                 0.000692                 0.000453                 0.203848                 
0.023114                 0.000692                 0.000453                 0.203844                 
0.023114                 0.000692                 0.000453                 0.203841                 
0.023114                 0.000692                 0.000454                 0.203837                 
0.023114                 0.000692                 0.000454                 0.203834                 
0.023114                 0.000692                 0.000454                 0.203830                 
0.023114                 0.000692                 0.000455                 0.203826                 
0.023114                 0.000692                 0.000455                 0.203823                 
0.023114                 0.000692                 0.000456                 0.203819                 
0.023114                 0.000692                 0.000456                 0.203816                 
0.023114                 0.000693                 0.000456                 0.203812                 
0.023114                 0.000693                 0.000457                 0.203808                 
0.023114                 0.000693                 0.000457                 0.203805                 
0.023114                 0.000693                 0.000458                 0.203801                 
0.023114                 0.000693                 0.000458                 0.203798                 
0.023114                 0.000693                 0.000458                 0.203794                 
0.023114                 0.000693                 0.000459                 0.203791                 
0.023114                 0.000693                 0.000459                 0.203787                 
0.023114                 0.000693                 0.000460                 0.203784                 
0.023114                 0.000693                 0.000460                 0.203780                 
0.023114                 0.000693                 0.000460                 0.203777                 
0.023114                 0.000693                 0.000461                 0.203773                 
0.023114                 0.000693                 0.000461                 0.203769                 
0.023114                 0.000694                 0.000462                 0.203766                 
0.023114                 0.000694                 0.000462                 0.203762                 
0.023114                 0.000694                 0.000463                 0.203759                 
0.023114                 0.000694                 0.000463                 0.203755                 
0.023114                 0.000694                 0.000463                 0.203752                 
0.023114                 0.000694                 0.000464                 0.203749                 
0.023114                 0.000694                 0.000464                 0.203745                 
0.023114                 0.000694                 0.000464                 0.203742                 
0.023114                 0.000694                 0.000465                 0.203738                 
0.023114                 0.000694                 0.000465                 0.203735                 
0.023114                 0.000694                 0.000466                 0.203731                 
0.023114                 0.000694                 0.000466                 0.203728                 
0.023114                 0.000694                 0.000466                 0.203724                 
0.023114                 0.000694                 0.000467                 0.203721                 
0.023114                 0.000694                 0.000467                 0.203718                 
0.023114                 0.000694                 0.000467                 0.203714                 
0.023114                 0.000694                 0.000467                 0.203711                 
0.023114                 0.000694                 0.000468                 0.203708                 
0.023114                 0.000695                 0.000468                 0.203704                 
0.023114                 0.000695                 0.000468                 0.203701                 
0.023114                 0.000695                 0.000469                 0.203697                 
0.023114                 0.000695                 0.000469                 0.203694                 
0.023114                 0.000695                 0.000469                 0.203691                 
0.023114                 0.000695                 0.000469                 0.203688                 
0.023114                 0.000695                 0.000470                 0.203684                 
0.023114                 0.000695                 0.000470                 0.203681                 
0.023114                 0.000695                 0.000470                 0.203678                 
0.023114                 0.000694                 0.000470                 0.203674                 
0.023114                 0.000694                 0.000470                 0.203671                 
0.023114                 0.000694                 0.000471                 0.203668                 
0.023114                 0.000694                 0.000471                 0.203665                 
0.023114                 0.000694                 0.000471                 0.203661                 
0.023114                 0.000694                 0.000471                 0.203658                 
0.023114                 0.000694                 0.000471                 0.203655                 
0.023114                 0.000694                 0.000471                 0.203652                 
0.023114                 0.000694                 0.000472                 0.203649                 
0.023114                 0.000694                 0.000472                 0.203645                 
0.023114                 0.000694                 0.000472                 0.203642                 
0.023114                 0.000694                 0.000472                 0.203639                 
0.023114                 0.000694                 0.000472                 0.203636                 
0.023114                 0.000694                 0.000472                 0.203633                 
0.023114                 0.000694                 0.000472                 0.203629                 
0.023114                 0.000694                 0.000473                 0.203626                 
0.023114                 0.000694                 0.000473                 0.203623                 
0.023114                 0.000694                 0.000473                 0.203620                 
0.023114                 0.000694                 0.000473                 0.203617                 
0.023113                 0.000694                 0.000473                 0.203614                 
0.023113                 0.000694                 0.000473                 0.203611                 
0.023113                 0.000694                 0.000474                 0.203608                 
0.023113                 0.000694                 0.000474                 0.203604                 
0.023113                 0.000694                 0.000474                 0.203601                 
0.023113                 0.000694                 0.000474                 0.203598                 
0.023113                 0.000694                 0.000474                 0.203595                 
0.023113                 0.000693                 0.000474                 0.203592                 
0.023113                 0.000693                 0.000475                 0.203589                 
0.023113                 0.000693                 0.000475                 0.203586                 
0.023113                 0.000693                 0.000475                 0.203583                 
0.023113                 0.000693                 0.000475                 0.203580                 
0.023113                 0.000693                 0.000475                 0.203577                 
0.023113                 0.000693                 0.000476                 0.203574                 
0.023113                 0.000693                 0.000476                 0.203571                 
0.023113                 0.000693                 0.000476                 0.203568                 
0.023113                 0.000693                 0.000476                 0.203565                 
0.023113                 0.000693                 0.000477                 0.203562                 
0.023113                 0.000693                 0.000477                 0.203559                 
0.023113                 0.000693                 0.000477                 0.203556                 
0.023113                 0.000693                 0.000477                 0.203553                 
0.023113                 0.000693                 0.000478                 0.203550                 
0.023113                 0.000693                 0.000478                 0.203547                 
0.023113                 0.000693                 0.000478                 0.203544                 
0.023113                 0.000693                 0.000478                 0.203541                 
0.023113                 0.000693                 0.000479                 0.203538                 
0.023112                 0.000693                 0.000479                 0.203535                 
0.023112                 0.000693                 0.000479                 0.203532                 
0.023112                 0.000693                 0.000479                 0.203529                 
0.023112                 0.000693                 0.000480                 0.203526                 
0.023112                 0.000693                 0.000480                 0.203523                 
0.023112                 0.000693                 0.000480                 0.203520                 
0.023112                 0.000693                 0.000481                 0.203517                 
0.023112                 0.000693                 0.000481                 0.203514                 
0.023112                 0.000693                 0.000481                 0.203512                 
0.023112                 0.000693                 0.000482                 0.203509                 
0.023112                 0.000693                 0.000482                 0.203506                 
0.023112                 0.000694                 0.000482                 0.203503                 
0.023112                 0.000694                 0.000483                 0.203500                 
0.023112                 0.000694                 0.000483                 0.203497                 
0.023112                 0.000694                 0.000483                 0.203494                 
0.023112                 0.000694                 0.000484                 0.203491                 
0.023112                 0.000694                 0.000484                 0.203488                 
0.023112                 0.000694                 0.000484                 0.203486                 
0.023112                 0.000694                 0.000484                 0.203483                 
0.023112                 0.000694                 0.000485                 0.203480                 
0.023112                 0.000694                 0.000485                 0.203477                 
0.023112                 0.000694                 0.000485                 0.203474                 
0.023112                 0.000694                 0.000486                 0.203471                 
0.023112                 0.000694                 0.000486                 0.203469                 
0.023112                 0.000694                 0.000486                 0.203466                 
0.023112                 0.000694                 0.000487                 0.203463                 
0.023112                 0.000694                 0.000487                 0.203460                 
0.023111                 0.000694                 0.000487                 0.203458                 
0.023111                 0.000694                 0.000488                 0.203455                 
0.023111                 0.000694                 0.000488                 0.203452                 
0.023111                 0.000694                 0.000488                 0.203449                 
0.023111                 0.000694                 0.000488                 0.203447                 
0.023111                 0.000694                 0.000489                 0.203444                 
0.023111                 0.000694                 0.000489                 0.203441                 
0.023111                 0.000694                 0.000489                 0.203438                 
0.023111                 0.000694                 0.000490                 0.203436                 
0.023111                 0.000694                 0.000490                 0.203433                 
0.023111                 0.000694                 0.000490                 0.203430                 
0.023111                 0.000694                 0.000490                 0.203428                 
0.023111                 0.000694                 0.000491                 0.203425                 
0.023111                 0.000694                 0.000491                 0.203422                 
0.023111                 0.000694                 0.000491                 0.203420                 
0.023111                 0.000694                 0.000491                 0.203417                 
0.023111                 0.000694                 0.000492                 0.203414                 
0.023111                 0.000694                 0.000492                 0.203412                 
0.023111                 0.000694                 0.000492                 0.203409                 
0.023111                 0.000694                 0.000492                 0.203406                 
0.023111                 0.000694                 0.000493                 0.203404                 
0.023111                 0.000694                 0.000493                 0.203401                 
0.023111                 0.000694                 0.000493                 0.203398                 
0.023111                 0.000694                 0.000493                 0.203396                 
0.023111                 0.000694                 0.000494                 0.203393                 
0.023110                 0.000694                 0.000494                 0.203391                 
0.023110                 0.000694                 0.000494                 0.203388                 
0.023110                 0.000694                 0.000494                 0.203386                 
0.023110                 0.000694                 0.000494                 0.203383                 
0.023110                 0.000694                 0.000495                 0.203381                 
0.023110                 0.000694                 0.000495                 0.203378                 
0.023110                 0.000694                 0.000495                 0.203376                 
0.023110                 0.000694                 0.000495                 0.203373                 
0.023110                 0.000694                 0.000496                 0.203371                 
0.023110                 0.000694                 0.000496                 0.203368                 
0.023110                 0.000694                 0.000496                 0.203366                 
0.023110                 0.000694                 0.000496                 0.203363                 
0.023110                 0.000694                 0.000496                 0.203361                 
0.023110                 0.000694                 0.000497                 0.203358                 
0.023110                 0.000694                 0.000497                 0.203356                 
0.023110                 0.000694                 0.000497                 0.203353                 
0.023110                 0.000694                 0.000497                 0.203351                 
0.023110                 0.000694                 0.000497                 0.203348                 
0.023110                 0.000694                 0.000498                 0.203346                 
0.023109                 0.000694                 0.000498                 0.203344                 
0.023109                 0.000694                 0.000498                 0.203341                 
0.023109                 0.000694                 0.000498                 0.203339                 
0.023109                 0.000694                 0.000499                 0.203336                 
0.023109                 0.000694                 0.000499                 0.203334                 
0.023109                 0.000694                 0.000499                 0.203332                 
0.023109                 0.000694                 0.000499                 0.203329                 
0.023109                 0.000694                 0.000500                 0.203327                 
0.023109                 0.000694                 0.000500                 0.203325                 
0.023109                 0.000694                 0.000500                 0.203322                 
0.023109                 0.000694                 0.000500                 0.203320                 
0.023109                 0.000694                 0.000501                 0.203318                 
0.023109                 0.000694                 0.000501                 0.203315                 
0.023109                 0.000694                 0.000501                 0.203313                 
0.023109                 0.000694                 0.000501                 0.203311                 
0.023109                 0.000694                 0.000502                 0.203309                 
0.023109                 0.000694                 0.000502                 0.203306                 
0.023108                 0.000694                 0.000502                 0.203304                 
0.023108                 0.000694                 0.000502                 0.203302                 
0.023108                 0.000694                 0.000503                 0.203300                 
0.023108                 0.000694                 0.000503                 0.203297                 
0.023108                 0.000694                 0.000503                 0.203295                 
0.023108                 0.000694                 0.000503                 0.203293                 
0.023108                 0.000694                 0.000504                 0.203291                 
0.023108                 0.000694                 0.000504                 0.203289                 
0.023108                 0.000694                 0.000504                 0.203286                 
0.023108                 0.000694                 0.000504                 0.203284                 
0.023108                 0.000694                 0.000505                 0.203282                 
0.023108                 0.000694                 0.000505                 0.203280                 
0.023108                 0.000694                 0.000505                 0.203278                 
0.023108                 0.000694                 0.000506                 0.203276                 
0.023108                 0.000694                 0.000506                 0.203273                 
0.023108                 0.000694                 0.000506                 0.203271                 
0.023108                 0.000694                 0.000506                 0.203269                 
0.023107                 0.000694                 0.000507                 0.203267                 
0.023107                 0.000694                 0.000507                 0.203265                 
0.023107                 0.000694                 0.000507                 0.203263                 
0.023107                 0.000694                 0.000507                 0.203261                 
0.023107                 0.000694                 0.000508                 0.203259                 
0.023107                 0.000694                 0.000508                 0.203257                 
0.023107                 0.000694                 0.000508                 0.203255                 
0.023107                 0.000694                 0.000509                 0.203253                 
0.023107                 0.000694                 0.000509                 0.203251                 
0.023107                 0.000694                 0.000509                 0.203249                 
0.023107                 0.000694                 0.000509                 0.203247                 
0.023107                 0.000694                 0.000510                 0.203245                 
0.023107                 0.000694                 0.000510                 0.203243                 
0.023107                 0.000694                 0.000510                 0.203241                 
0.023107                 0.000694                 0.000511                 0.203239                 
0.023106                 0.000694                 0.000511                 0.203237                 
0.023106                 0.000694                 0.000511                 0.203235                 
0.023106                 0.000694                 0.000511                 0.203233                 
0.023106                 0.000694                 0.000512                 0.203231                 
0.023106                 0.000694                 0.000512                 0.203229                 
0.023106                 0.000694                 0.000512                 0.203227                 
0.023106                 0.000694                 0.000512                 0.203225                 
0.023106                 0.000694                 0.000513                 0.203223                 
0.023106                 0.000694                 0.000513                 0.203221                 
0.023106                 0.000694                 0.000513                 0.203219                 
0.023106                 0.000694                 0.000513                 0.203218                 
0.023105                 0.000678                 0.000503                 0.203216                 
0.023105                 0.000602                 0.000453                 0.203214                 
0.023104                 0.000476                 0.000371                 0.203212                 
0.023103                 0.000307                 0.000264                 0.203210                 
0.023103                 0.000105                 0.000136                 0.203208                 
0.023102                 -0.000124                -0.000006                0.203207                 
0.023101                 -0.000374                -0.000157                0.203205                 
0.023101                 -0.000639                -0.000315                0.203203                 
0.023100                 -0.000913                -0.000474                0.203202                 
0.023100                 -0.001193                -0.000632                0.203200                 
0.023100                 -0.001472                -0.000785                0.203198                 
0.023100                 -0.001749                -0.000933                0.203197                 
0.023100                 -0.002018                -0.001071                0.203195                 
0.023101                 -0.002278                -0.001198                0.203194                 
0.023101                 -0.002526                -0.001314                0.203193                 
0.023102                 -0.002758                -0.001416                0.203191                 
0.023104                 -0.002974                -0.001503                0.203190                 
0.023105                 -0.003171                -0.001574                0.203189                 
0.023107                 -0.003348                -0.001630                0.203188                 
0.023109                 -0.003504                -0.001669                0.203187                 
0.023111                 -0.003637                -0.001691                0.203186                 
0.023114                 -0.003748                -0.001697                0.203185                 
0.023116                 -0.003834                -0.001686                0.203184                 
0.023119                 -0.003897                -0.001659                0.203183                 
0.023123                 -0.003936                -0.001615                0.203182                 
0.023126                 -0.003951                -0.001556                0.203181                 
0.023130                 -0.003943                -0.001483                0.203181                 
0.023134                 -0.003911                -0.001395                0.203180                 
0.023137                 -0.003857                -0.001295                0.203180                 
0.023141                 -0.003781                -0.001182                0.203179                 
0.023146                 -0.003684                -0.001058                0.203179                 
0.023150                 -0.003567                -0.000925                0.203178                 
0.023154                 -0.003431                -0.000782                0.203178                 
0.023158                 -0.003278                -0.000632                0.203177                 
0.023162                 -0.003108                -0.000476                0.203177                 
0.023166                 -0.002924                -0.000315                0.203176                 
0.023170                 -0.002726                -0.000150                0.203176                 
0.023173                 -0.002516                0.000018                 0.203175                 
0.023177                 -0.002296                0.000186                 0.203175                 
0.023180                 -0.002066                0.000355                 0.203174                 
0.023182                 -0.001830                0.000522                 0.203174                 
0.023185                 -0.001587                0.000686                 0.203173                 
0.023187                 -0.001341                0.000847                 0.203173                 
0.023188                 -0.001092                0.001002                 0.203172                 
0.023189                 -0.000842                0.001152                 0.203171                 
0.023190                 -0.000593                0.001294                 0.203170                 
0.023190                 -0.000345                0.001428                 0.203169                 
