Eta                      Xi                       Zeta                     Delta                    
0.023056                 -0.000030                0.000019                 0.261018                 
0.022860                 -0.000027                0.000021                 0.260420                 
0.022666                 -0.000024                0.000023                 0.259727                 
0.022474                 -0.000022                0.000026                 0.258943                 
0.022285                 -0.000019                0.000028                 0.258070                 
0.022100                 -0.000017                0.000029                 0.257113                 
0.021918                 -0.000015                0.000031                 0.256075                 
0.021740                 -0.000013                0.000032                 0.254961                 
0.021568                 -0.000010                0.000033                 0.253774                 
0.021401                 -0.000009                0.000034                 0.252518                 
0.021239                 -0.000007                0.000034                 0.251198                 
0.021084                 -0.000005                0.000035                 0.249817                 
0.020935                 -0.000004                0.000035                 0.248380                 
0.020793                 -0.000002                0.000034                 0.246891                 
0.020658                 -0.000001                0.000034                 0.245354                 
0.020530                 -0.000000                0.000033                 0.243774                 
0.020411                 0.000001                 0.000032                 0.242155                 
0.020299                 0.000001                 0.000031                 0.240501                 
0.020196                 0.000002                 0.000030                 0.238816                 
0.020101                 0.000002                 0.000028                 0.237104                 
0.020014                 0.000002                 0.000026                 0.235370                 
0.019936                 0.000002                 0.000024                 0.233619                 
0.019867                 0.000002                 0.000022                 0.231853                 
0.019807                 0.000001                 0.000020                 0.230077                 
0.019755                 0.000001                 0.000017                 0.228295                 
0.019713                 -0.000000                0.000014                 0.226512                 
0.019679                 -0.000001                0.000012                 0.224730                 
0.019654                 -0.000002                0.000009                 0.222954                 
0.019637                 -0.000003                0.000006                 0.221187                 
0.019629                 -0.000005                0.000003                 0.219433                 
0.019630                 -0.000006                -0.000000                0.217695                 
0.019639                 -0.000007                -0.000004                0.215977                 
0.019657                 -0.000009                -0.000007                0.214282                 
0.019682                 -0.000011                -0.000010                0.212613                 
0.019715                 -0.000013                -0.000013                0.210973                 
0.019756                 -0.000015                -0.000016                0.209365                 
0.019804                 -0.000016                -0.000019                0.207792                 
0.019859                 -0.000018                -0.000023                0.206256                 
0.019921                 -0.000020                -0.000026                0.204759                 
0.019989                 -0.000022                -0.000028                0.203305                 
0.020063                 -0.000025                -0.000031                0.201895                 
0.020143                 -0.000027                -0.000034                0.200531                 
0.020229                 -0.000029                -0.000037                0.199215                 
0.020320                 -0.000031                -0.000039                0.197949                 
0.020416                 -0.000033                -0.000042                0.196734                 
0.020516                 -0.000035                -0.000044                0.195572                 
0.020620                 -0.000036                -0.000046                0.194465                 
0.020728                 -0.000038                -0.000048                0.193412                 
0.020840                 -0.000040                -0.000049                0.192416                 
0.020954                 -0.000042                -0.000051                0.191477                 
0.021070                 -0.000043                -0.000052                0.190595                 
0.021189                 -0.000045                -0.000053                0.189772                 
0.021310                 -0.000046                -0.000054                0.189007                 
0.021432                 -0.000047                -0.000055                0.188301                 
0.021555                 -0.000049                -0.000055                0.187654                 
0.021679                 -0.000050                -0.000056                0.187065                 
0.021803                 -0.000051                -0.000056                0.186536                 
0.021926                 -0.000051                -0.000056                0.186065                 
0.022050                 -0.000052                -0.000055                0.185651                 
0.022172                 -0.000053                -0.000055                0.185295                 
0.022294                 -0.000053                -0.000054                0.184996                 
0.022414                 -0.000054                -0.000054                0.184753                 
0.022532                 -0.000054                -0.000053                0.184564                 
0.022648                 -0.000054                -0.000051                0.184430                 
0.022761                 -0.000054                -0.000050                0.184348                 
0.022872                 -0.000054                -0.000049                0.184318                 
0.022980                 -0.000053                -0.000047                0.184338                 
0.023084                 -0.000053                -0.000045                0.184407                 
0.023185                 -0.000052                -0.000044                0.184523                 
0.023282                 -0.000052                -0.000042                0.184685                 
0.023376                 -0.000051                -0.000040                0.184892                 
0.023465                 -0.000050                -0.000037                0.185140                 
0.023550                 -0.000049                -0.000035                0.185430                 
0.023630                 -0.000048                -0.000033                0.185758                 
0.023706                 -0.000047                -0.000031                0.186124                 
0.023776                 -0.000046                -0.000028                0.186524                 
0.023842                 -0.000045                -0.000026                0.186958                 
0.023903                 -0.000044                -0.000024                0.187423                 
0.023959                 -0.000042                -0.000021                0.187918                 
0.024010                 -0.000041                -0.000019                0.188439                 
0.024055                 -0.000040                -0.000017                0.188986                 
0.024096                 -0.000038                -0.000014                0.189556                 
0.024131                 -0.000037                -0.000012                0.190146                 
0.024160                 -0.000036                -0.000010                0.190756                 
0.024185                 -0.000034                -0.000008                0.191383                 
0.024204                 -0.000033                -0.000006                0.192025                 
0.024218                 -0.000031                -0.000004                0.192680                 
0.024227                 -0.000030                -0.000002                0.193346                 
0.024231                 -0.000029                -0.000000                0.194021                 
0.024230                 -0.000027                0.000001                 0.194702                 
0.024224                 -0.000026                0.000003                 0.195389                 
0.024213                 -0.000025                0.000004                 0.196079                 
0.024198                 -0.000024                0.000006                 0.196771                 
0.024178                 -0.000022                0.000007                 0.197462                 
0.024154                 -0.000021                0.000008                 0.198151                 
0.024126                 -0.000020                0.000009                 0.198836                 
0.024094                 -0.000019                0.000010                 0.199516                 
0.024058                 -0.000018                0.000010                 0.200189                 
0.024018                 -0.000018                0.000011                 0.200854                 
0.023975                 -0.000017                0.000011                 0.201508                 
0.023928                 -0.000016                0.000011                 0.202151                 
0.023879                 -0.000016                0.000011                 0.202781                 
0.023827                 -0.000015                0.000011                 0.203398                 
0.023772                 -0.000015                0.000011                 0.203999                 
0.023714                 -0.000015                0.000011                 0.204585                 
0.023655                 -0.000014                0.000010                 0.205153                 
0.023593                 -0.000014                0.000010                 0.205702                 
0.023530                 -0.000014                0.000009                 0.206233                 
0.023466                 -0.000014                0.000008                 0.206744                 
0.023400                 -0.000014                0.000007                 0.207234                 
0.023333                 -0.000014                0.000006                 0.207703                 
0.023265                 -0.000015                0.000005                 0.208150                 
0.023197                 -0.000015                0.000004                 0.208574                 
0.023128                 -0.000015                0.000003                 0.208976                 
0.023059                 -0.000016                0.000002                 0.209354                 
0.022990                 -0.000016                0.000000                 0.209709                 
0.022922                 -0.000017                -0.000001                0.210041                 
0.022854                 -0.000017                -0.000003                0.210348                 
0.022787                 -0.000018                -0.000004                0.210631                 
0.022720                 -0.000019                -0.000006                0.210891                 
0.022655                 -0.000020                -0.000007                0.211126                 
0.022591                 -0.000020                -0.000009                0.211338                 
0.022528                 -0.000021                -0.000011                0.211526                 
0.022467                 -0.000022                -0.000012                0.211691                 
0.022408                 -0.000023                -0.000014                0.211832                 
0.022351                 -0.000024                -0.000015                0.211951                 
0.022296                 -0.000025                -0.000017                0.212047                 
0.022243                 -0.000026                -0.000018                0.212122                 
0.022192                 -0.000027                -0.000020                0.212175                 
0.022144                 -0.000028                -0.000021                0.212207                 
0.022098                 -0.000028                -0.000023                0.212219                 
0.022056                 -0.000029                -0.000024                0.212211                 
0.022015                 -0.000030                -0.000025                0.212184                 
0.021978                 -0.000031                -0.000027                0.212139                 
0.021943                 -0.000032                -0.000028                0.212076                 
0.021912                 -0.000033                -0.000029                0.211997                 
0.021883                 -0.000033                -0.000030                0.211901                 
0.021858                 -0.000034                -0.000031                0.211790                 
0.021835                 -0.000035                -0.000031                0.211665                 
0.021816                 -0.000036                -0.000032                0.211526                 
0.021800                 -0.000036                -0.000033                0.211375                 
0.021787                 -0.000037                -0.000033                0.211211                 
0.021777                 -0.000037                -0.000034                0.211037                 
0.021770                 -0.000038                -0.000034                0.210852                 
0.021766                 -0.000038                -0.000034                0.210658                 
0.021765                 -0.000039                -0.000035                0.210456                 
0.021766                 -0.000039                -0.000035                0.210247                 
0.021771                 -0.000039                -0.000035                0.210031                 
0.021779                 -0.000039                -0.000035                0.209809                 
0.021789                 -0.000040                -0.000034                0.209582                 
0.021803                 -0.000040                -0.000034                0.209351                 
0.021818                 -0.000040                -0.000034                0.209117                 
0.021836                 -0.000040                -0.000033                0.208881                 
0.021857                 -0.000040                -0.000033                0.208643                 
0.021880                 -0.000040                -0.000032                0.208405                 
0.021905                 -0.000040                -0.000032                0.208166                 
0.021933                 -0.000039                -0.000031                0.207928                 
0.021962                 -0.000039                -0.000030                0.207692                 
0.021993                 -0.000039                -0.000030                0.207457                 
0.022026                 -0.000039                -0.000029                0.207226                 
0.022061                 -0.000038                -0.000028                0.206998                 
0.022097                 -0.000038                -0.000027                0.206774                 
0.022134                 -0.000038                -0.000026                0.206554                 
0.022173                 -0.000037                -0.000025                0.206340                 
0.022212                 -0.000037                -0.000024                0.206131                 
0.022253                 -0.000036                -0.000023                0.205928                 
