CA                       CM                       CW                       CZ                       CX                       AoA [Deg]                Mach [-]                 Eta [Deg]                AoA size                 Mach size                Eta size                 
0.047989                 -0.050909                0.020215                 -0.047254                -0.021877                -2.000000                0.300000                 0.087266                 20                       8                        7                        
0.171989                 -0.067709                0.016215                 -0.171989                -0.016215                0.000000                 0.300000                 0.087266                 20                       8                        7                        
0.297989                 -0.082709                0.018215                 -0.298443                -0.007804                2.000000                 0.300000                 0.087266                 20                       8                        7                        
0.426989                 -0.100809                0.026215                 -0.427777                0.003634                 4.000000                 0.300000                 0.087266                 20                       8                        7                        
0.558989                 -0.122609                0.042215                 -0.560339                0.016447                 6.000000                 0.300000                 0.087266                 20                       8                        7                        
0.763989                 -0.166909                0.090215                 -0.768695                0.030410                 9.000000                 0.300000                 0.087266                 20                       8                        7                        
0.834989                 -0.186109                0.111215                 -0.841616                0.035469                 10.000000                0.300000                 0.087266                 20                       8                        7                        
0.908989                 -0.208309                0.137215                 -0.918470                0.038750                 11.000000                0.300000                 0.087266                 20                       8                        7                        
0.974989                 -0.229409                0.164215                 -0.987825                0.042085                 12.000000                0.300000                 0.087266                 20                       8                        7                        
1.089989                 -0.277309                0.219215                 -1.110644                0.050989                 14.000000                0.300000                 0.087266                 20                       8                        7                        
1.190989                 -0.331909                0.275215                 -1.220711                0.063728                 16.000000                0.300000                 0.087266                 20                       8                        7                        
1.273989                 -0.393909                0.337215                 -1.315840                0.072974                 18.000000                0.300000                 0.087266                 20                       8                        7                        
1.334989                 -0.463309                0.337215                 -1.369813                0.139715                 20.000000                0.300000                 0.087266                 20                       8                        7                        
1.432989                 -0.545009                0.337215                 -1.454967                0.224147                 22.000000                0.300000                 0.087266                 20                       8                        7                        
1.490989                 -0.613009                0.337215                 -1.499243                0.298379                 24.000000                0.300000                 0.087266                 20                       8                        7                        
1.488989                 -0.637909                0.337215                 -1.486119                0.349643                 26.000000                0.300000                 0.087266                 20                       8                        7                        
1.497989                 -0.627109                0.337215                 -1.480958                0.405520                 28.000000                0.300000                 0.087266                 20                       8                        7                        
-0.630026                0.073181                 0.174302                 0.652497                 -0.039503                -12.000000               0.400000                 0.087266                 20                       8                        7                        
-0.353026                0.019881                 0.078302                 0.360487                 -0.028408                -8.000000                0.400000                 0.087266                 20                       8                        7                        
-0.085026                -0.026319                0.030302                 0.086932                 -0.024297                -4.000000                0.400000                 0.087266                 20                       8                        7                        
0.042974                 -0.046819                0.020302                 -0.042240                -0.021789                -2.000000                0.400000                 0.087266                 20                       8                        7                        
0.167974                 -0.063619                0.016302                 -0.167974                -0.016302                0.000000                 0.400000                 0.087266                 20                       8                        7                        
0.295974                 -0.078619                0.017302                 -0.296398                -0.006962                2.000000                 0.400000                 0.087266                 20                       8                        7                        
0.425974                 -0.096719                0.026302                 -0.426771                0.003477                 4.000000                 0.400000                 0.087266                 20                       8                        7                        
0.558974                 -0.118719                0.042302                 -0.560334                0.016359                 6.000000                 0.400000                 0.087266                 20                       8                        7                        
0.764974                 -0.163219                0.090302                 -0.769683                0.030478                 9.000000                 0.400000                 0.087266                 20                       8                        7                        
0.836974                 -0.182419                0.111302                 -0.843586                0.035728                 10.000000                0.400000                 0.087266                 20                       8                        7                        
0.910974                 -0.204619                0.136302                 -0.920245                0.040024                 11.000000                0.400000                 0.087266                 20                       8                        7                        
0.979974                 -0.226619                0.163302                 -0.992512                0.044015                 12.000000                0.400000                 0.087266                 20                       8                        7                        
1.092974                 -0.274019                0.218302                 -1.113320                0.052597                 14.000000                0.400000                 0.087266                 20                       8                        7                        
1.192974                 -0.330319                0.275302                 -1.222644                0.064191                 16.000000                0.400000                 0.087266                 20                       8                        7                        
1.272974                 -0.393119                0.337302                 -1.314903                0.072578                 18.000000                0.400000                 0.087266                 20                       8                        7                        
1.328974                 -0.462719                0.337302                 -1.364191                0.137576                 20.000000                0.400000                 0.087266                 20                       8                        7                        
1.434974                 -0.545419                0.337302                 -1.456841                0.224810                 22.000000                0.400000                 0.087266                 20                       8                        7                        
1.491974                 -0.611719                0.337302                 -1.500179                0.298700                 24.000000                0.400000                 0.087266                 20                       8                        7                        
1.502974                 -0.637819                0.337302                 -1.498728                0.355696                 26.000000                0.400000                 0.087266                 20                       8                        7                        
1.516974                 -0.625919                0.337302                 -1.497763                0.414356                 28.000000                0.400000                 0.087266                 20                       8                        7                        
-0.643000                0.081001                 0.174302                 0.665188                 -0.036806                -12.000000               0.500000                 0.087266                 20                       8                        7                        
-0.364000                0.027201                 0.077302                 0.371216                 -0.025891                -8.000000                0.500000                 0.087266                 20                       8                        7                        
-0.093000                -0.018999                0.030302                 0.094887                 -0.023741                -4.000000                0.500000                 0.087266                 20                       8                        7                        
0.037000                 -0.039499                0.019302                 -0.036304                -0.020581                -2.000000                0.500000                 0.087266                 20                       8                        7                        
0.164000                 -0.056199                0.016302                 -0.164000                -0.016302                0.000000                 0.500000                 0.087266                 20                       8                        7                        
0.293000                 -0.071099                0.017302                 -0.293426                -0.007066                2.000000                 0.500000                 0.087266                 20                       8                        7                        
0.425000                 -0.089399                0.026302                 -0.425800                0.003409                 4.000000                 0.500000                 0.087266                 20                       8                        7                        
0.559000                 -0.111499                0.042302                 -0.560360                0.016361                 6.000000                 0.500000                 0.087266                 20                       8                        7                        
0.767000                 -0.156099                0.089302                 -0.771527                0.031783                 9.000000                 0.500000                 0.087266                 20                       8                        7                        
0.839000                 -0.175399                0.111302                 -0.845581                0.036080                 10.000000                0.500000                 0.087266                 20                       8                        7                        
0.913000                 -0.197499                0.136302                 -0.922233                0.040411                 11.000000                0.500000                 0.087266                 20                       8                        7                        
0.987000                 -0.220599                0.163302                 -0.999384                0.045476                 12.000000                0.500000                 0.087266                 20                       8                        7                        
1.099000                 -0.267599                0.218302                 -1.119167                0.054055                 14.000000                0.500000                 0.087266                 20                       8                        7                        
1.198000                 -0.326099                0.275302                 -1.227475                0.065576                 16.000000                0.500000                 0.087266                 20                       8                        7                        
1.275000                 -0.390199                0.337302                 -1.316829                0.073204                 18.000000                0.500000                 0.087266                 20                       8                        7                        
1.326000                 -0.460599                0.337302                 -1.361397                0.136559                 20.000000                0.500000                 0.087266                 20                       8                        7                        
1.438000                 -0.544699                0.337302                 -1.459646                0.225944                 22.000000                0.500000                 0.087266                 20                       8                        7                        
1.498000                 -0.610999                0.337302                 -1.505684                0.301151                 24.000000                0.500000                 0.087266                 20                       8                        7                        
1.522000                 -0.638199                0.337302                 -1.515828                0.364036                 26.000000                0.500000                 0.087266                 20                       8                        7                        
1.543000                 -0.625899                0.337302                 -1.520742                0.426575                 28.000000                0.500000                 0.087266                 20                       8                        7                        
-0.658021                0.091340                 0.174302                 0.679881                 -0.033683                -12.000000               0.600000                 0.087266                 20                       8                        7                        
-0.376021                0.036640                 0.077302                 0.383120                 -0.024218                -8.000000                0.600000                 0.087266                 20                       8                        7                        
-0.103021                -0.009760                0.030302                 0.104884                 -0.023042                -4.000000                0.600000                 0.087266                 20                       8                        7                        
0.029979                 -0.030160                0.019302                 -0.029287                -0.020336                -2.000000                0.600000                 0.087266                 20                       8                        7                        
0.158979                 -0.046660                0.016302                 -0.158979                -0.016302                0.000000                 0.600000                 0.087266                 20                       8                        7                        
0.289979                 -0.061660                0.017302                 -0.290406                -0.007171                2.000000                 0.600000                 0.087266                 20                       8                        7                        
0.422979                 -0.079960                0.025302                 -0.423713                0.004265                 4.000000                 0.600000                 0.087266                 20                       8                        7                        
0.558979                 -0.102260                0.041302                 -0.560234                0.017354                 6.000000                 0.600000                 0.087266                 20                       8                        7                        
0.766979                 -0.147160                0.089302                 -0.771506                0.031780                 9.000000                 0.600000                 0.087266                 20                       8                        7                        
0.838979                 -0.166660                0.110302                 -0.845387                0.037061                 10.000000                0.600000                 0.087266                 20                       8                        7                        
0.913979                 -0.189060                0.135302                 -0.923003                0.041579                 11.000000                0.600000                 0.087266                 20                       8                        7                        
0.988979                 -0.212660                0.162302                 -1.001112                0.046865                 12.000000                0.600000                 0.087266                 20                       8                        7                        
1.100979                 -0.260560                0.218302                 -1.121087                0.054534                 14.000000                0.600000                 0.087266                 20                       8                        7                        
1.198979                 -0.320760                0.275302                 -1.228416                0.065846                 16.000000                0.600000                 0.087266                 20                       8                        7                        
1.273979                 -0.386260                0.337302                 -1.315858                0.072888                 18.000000                0.600000                 0.087266                 20                       8                        7                        
1.323979                 -0.457560                0.337302                 -1.359497                0.135867                 20.000000                0.600000                 0.087266                 20                       8                        7                        
1.437979                 -0.542460                0.337302                 -1.459626                0.225936                 22.000000                0.600000                 0.087266                 20                       8                        7                        
1.510979                 -0.612160                0.337302                 -1.517541                0.306430                 24.000000                0.600000                 0.087266                 20                       8                        7                        
1.547979                 -0.641960                0.337302                 -1.539178                0.375424                 26.000000                0.600000                 0.087266                 20                       8                        7                        
1.577979                 -0.630760                0.337302                 -1.551626                0.442996                 28.000000                0.600000                 0.087266                 20                       8                        7                        
-0.677970                0.106505                 0.176389                 0.699828                 -0.031577                -12.000000               0.700000                 0.087266                 20                       8                        7                        
-0.394970                0.050805                 0.085389                 0.403010                 -0.029589                -8.000000                0.700000                 0.087266                 20                       8                        7                        
-0.116970                0.004105                 0.032389                 0.118944                 -0.024151                -4.000000                0.700000                 0.087266                 20                       8                        7                        
0.018030                 -0.015995                0.021389                 -0.017273                -0.022005                -2.000000                0.700000                 0.087266                 20                       8                        7                        
0.150030                 -0.032195                0.015389                 -0.150030                -0.015389                0.000000                 0.700000                 0.087266                 20                       8                        7                        
0.283030                 -0.047095                0.019389                 -0.283535                -0.009500                2.000000                 0.700000                 0.087266                 20                       8                        7                        
0.419030                 -0.065495                0.028389                 -0.419990                0.000910                 4.000000                 0.700000                 0.087266                 20                       8                        7                        
0.556030                 -0.087995                0.045389                 -0.557729                0.012981                 6.000000                 0.700000                 0.087266                 20                       8                        7                        
0.765030                 -0.133195                0.096389                 -0.770690                0.024475                 9.000000                 0.700000                 0.087266                 20                       8                        7                        
0.837030                 -0.152995                0.120389                 -0.845219                0.026789                 10.000000                0.700000                 0.087266                 20                       8                        7                        
0.912030                 -0.175695                0.145389                 -0.923015                0.031306                 11.000000                0.700000                 0.087266                 20                       8                        7                        
0.987030                 -0.199995                0.164389                 -0.999640                0.044418                 12.000000                0.700000                 0.087266                 20                       8                        7                        
1.099030                 -0.249495                0.212389                 -1.117766                0.059799                 14.000000                0.700000                 0.087266                 20                       8                        7                        
1.196030                 -0.311495                0.262389                 -1.222023                0.077446                 16.000000                0.700000                 0.087266                 20                       8                        7                        
1.271030                 -0.378795                0.325389                 -1.309373                0.083307                 18.000000                0.700000                 0.087266                 20                       8                        7                        
1.318030                 -0.451195                0.325389                 -1.349833                0.145027                 20.000000                0.700000                 0.087266                 20                       8                        7                        
1.436030                 -0.536395                0.325389                 -1.453357                0.236251                 22.000000                0.700000                 0.087266                 20                       8                        7                        
1.521030                 -0.606795                0.325389                 -1.521878                0.321401                 24.000000                0.700000                 0.087266                 20                       8                        7                        
1.574030                 -0.639595                0.325389                 -1.557370                0.397552                 26.000000                0.700000                 0.087266                 20                       8                        7                        
1.619030                 -0.633895                0.325389                 -1.582280                0.472787                 28.000000                0.700000                 0.087266                 20                       8                        7                        
-0.706019                0.127205                 0.184476                 0.728946                 -0.033655                -12.000000               0.800000                 0.087266                 20                       8                        7                        
-0.420019                0.070305                 0.097476                 0.429498                 -0.038072                -8.000000                0.800000                 0.087266                 20                       8                        7                        
-0.136019                0.023205                 0.036476                 0.138233                 -0.026899                -4.000000                0.800000                 0.087266                 20                       8                        7                        
0.001981                 0.003605                 0.022476                 -0.001195                -0.022532                -2.000000                0.800000                 0.087266                 20                       8                        7                        
0.137981                 -0.012095                0.015476                 -0.137981                -0.015476                0.000000                 0.800000                 0.087266                 20                       8                        7                        
0.273981                 -0.026695                0.019476                 -0.274493                -0.009903                2.000000                 0.800000                 0.087266                 20                       8                        7                        
0.411981                 -0.045195                0.031476                 -0.413173                -0.002661                4.000000                 0.800000                 0.087266                 20                       8                        7                        
0.550981                 -0.067895                0.053476                 -0.553552                0.004410                 6.000000                 0.800000                 0.087266                 20                       8                        7                        
0.760981                 -0.113495                0.107476                 -0.768425                0.012890                 9.000000                 0.800000                 0.087266                 20                       8                        7                        
0.833981                 -0.133595                0.129476                 -0.843794                0.017310                 10.000000                0.800000                 0.087266                 20                       8                        7                        
0.908981                 -0.156695                0.152476                 -0.921374                0.023767                 11.000000                0.800000                 0.087266                 20                       8                        7                        
0.983981                 -0.181795                0.172476                 -0.998338                0.035874                 12.000000                0.800000                 0.087266                 20                       8                        7                        
1.094981                 -0.233695                0.218476                 -1.115309                0.052913                 14.000000                0.800000                 0.087266                 20                       8                        7                        
1.191981                 -0.298195                0.274476                 -1.221461                0.064711                 16.000000                0.800000                 0.087266                 20                       8                        7                        
1.265981                 -0.368095                0.332476                 -1.306760                0.075006                 18.000000                0.800000                 0.087266                 20                       8                        7                        
1.309981                 -0.441995                0.332476                 -1.344693                0.135614                 20.000000                0.800000                 0.087266                 20                       8                        7                        
1.431981                 -0.527695                0.332476                 -1.452257                0.228163                 22.000000                0.800000                 0.087266                 20                       8                        7                        
1.531981                 -0.598695                0.332476                 -1.534764                0.319380                 24.000000                0.800000                 0.087266                 20                       8                        7                        
1.604981                 -0.634995                0.332476                 -1.588295                0.404749                 26.000000                0.800000                 0.087266                 20                       8                        7                        
1.665981                 -0.633595                0.332476                 -1.627062                0.488571                 28.000000                0.800000                 0.087266                 20                       8                        7                        
-0.685031                0.106073                 0.187302                 0.709004                 -0.040783                -12.000000               0.900000                 0.087266                 20                       8                        7                        
-0.401031                0.051373                 0.109302                 0.412340                 -0.052425                -8.000000                0.900000                 0.087266                 20                       8                        7                        
-0.122031                0.005173                 0.041302                 0.124615                 -0.032689                -4.000000                0.900000                 0.087266                 20                       8                        7                        
0.014969                 -0.014527                0.024302                 -0.014112                -0.024809                -2.000000                0.900000                 0.087266                 20                       8                        7                        
0.147969                 -0.030327                0.016302                 -0.147969                -0.016302                0.000000                 0.900000                 0.087266                 20                       8                        7                        
0.282969                 -0.045027                0.021302                 -0.283540                -0.011413                2.000000                 0.900000                 0.087266                 20                       8                        7                        
0.418969                 -0.063127                0.036302                 -0.420481                -0.006988                4.000000                 0.900000                 0.087266                 20                       8                        7                        
0.556969                 -0.085227                0.061302                 -0.560326                -0.002747                6.000000                 0.900000                 0.087266                 20                       8                        7                        
0.764969                 -0.129027                0.120302                 -0.774370                0.000847                 9.000000                 0.900000                 0.087266                 20                       8                        7                        
0.836969                 -0.148127                0.142302                 -0.848964                0.005198                 10.000000                0.900000                 0.087266                 20                       8                        7                        
0.910969                 -0.170127                0.158302                 -0.924437                0.018428                 11.000000                0.900000                 0.087266                 20                       8                        7                        
0.985969                 -0.193727                0.175302                 -1.000871                0.033523                 12.000000                0.900000                 0.087266                 20                       8                        7                        
1.095969                 -0.241627                0.212302                 -1.114775                0.059143                 14.000000                0.900000                 0.087266                 20                       8                        7                        
1.190969                 -0.301427                0.280302                 -1.222095                0.058832                 16.000000                0.900000                 0.087266                 20                       8                        7                        
1.262969                 -0.366727                0.350302                 -1.309404                0.057122                 18.000000                0.900000                 0.087266                 20                       8                        7                        
1.307969                 -0.437327                0.350302                 -1.348899                0.118176                 20.000000                0.900000                 0.087266                 20                       8                        7                        
1.432969                 -0.521027                0.350302                 -1.459851                0.212005                 22.000000                0.900000                 0.087266                 20                       8                        7                        
1.555969                 -0.595427                0.350302                 -1.563929                0.312853                 24.000000                0.900000                 0.087266                 20                       8                        7                        
1.658969                 -0.642427                0.350302                 -1.644634                0.412395                 26.000000                0.900000                 0.087266                 20                       8                        7                        
1.744969                 -0.654627                0.350302                 -1.705173                0.509915                 28.000000                0.900000                 0.087266                 20                       8                        7                        
-0.516615                -0.071048                0.171026                 0.540884                 -0.059878                -12.000000               0.200000                 0.174533                 20                       8                        7                        
-0.242615                -0.124048                0.075026                 0.250695                 -0.040530                -8.000000                0.200000                 0.174533                 20                       8                        7                        
0.021385                 -0.170648                0.027026                 -0.019448                -0.028452                -4.000000                0.200000                 0.174533                 20                       8                        7                        
0.148385                 -0.191248                0.016026                 -0.147735                -0.021195                -2.000000                0.200000                 0.174533                 20                       8                        7                        
0.271385                 -0.208048                0.013026                 -0.271385                -0.013026                0.000000                 0.200000                 0.174533                 20                       8                        7                        
0.396385                 -0.222948                0.014026                 -0.396633                -0.000184                2.000000                 0.200000                 0.174533                 20                       8                        7                        
0.525385                 -0.240948                0.023026                 -0.525712                0.013679                 4.000000                 0.200000                 0.174533                 20                       8                        7                        
0.656385                 -0.262748                0.039026                 -0.656869                0.029799                 6.000000                 0.200000                 0.174533                 20                       8                        7                        
0.860385                 -0.306748                0.087026                 -0.863406                0.048640                 9.000000                 0.200000                 0.174533                 20                       8                        7                        
0.931385                 -0.325748                0.108026                 -0.935994                0.055349                 10.000000                0.200000                 0.174533                 20                       8                        7                        
1.005385                 -0.347948                0.134026                 -1.012487                0.060273                 11.000000                0.200000                 0.174533                 20                       8                        7                        
1.070385                 -0.368648                0.160026                 -1.080266                0.066017                 12.000000                0.200000                 0.174533                 20                       8                        7                        
1.186385                 -0.416648                0.216026                 -1.203406                0.077404                 14.000000                0.200000                 0.174533                 20                       8                        7                        
1.287385                 -0.470448                0.272026                 -1.312495                0.093363                 16.000000                0.200000                 0.174533                 20                       8                        7                        
1.372385                 -0.532048                0.334026                 -1.408436                0.106413                 18.000000                0.200000                 0.174533                 20                       8                        7                        
1.436385                 -0.601548                0.334026                 -1.464004                0.177391                 20.000000                0.200000                 0.174533                 20                       8                        7                        
1.530385                 -0.683248                0.334026                 -1.544077                0.263589                 22.000000                0.200000                 0.174533                 20                       8                        7                        
1.591385                 -0.753348                0.334026                 -1.589663                0.342127                 24.000000                0.200000                 0.174533                 20                       8                        7                        
1.580385                 -0.778748                0.334026                 -1.566868                0.392575                 26.000000                0.200000                 0.174533                 20                       8                        7                        
1.586385                 -0.769548                0.334026                 -1.557511                0.449835                 28.000000                0.200000                 0.174533                 20                       8                        7                        
-0.522971                -0.068528                0.170113                 0.546911                 -0.057664                -12.000000               0.300000                 0.174533                 20                       8                        7                        
-0.247971                -0.121728                0.074113                 0.255872                 -0.038881                -8.000000                0.300000                 0.174533                 20                       8                        7                        
0.018029                 -0.167928                0.026113                 -0.016164                -0.027307                -4.000000                0.300000                 0.174533                 20                       8                        7                        
0.145029                 -0.188528                0.016113                 -0.144378                -0.021165                -2.000000                0.300000                 0.174533                 20                       8                        7                        
0.269029                 -0.205328                0.012113                 -0.269029                -0.012113                0.000000                 0.300000                 0.174533                 20                       8                        7                        
0.395029                 -0.220328                0.014113                 -0.395281                -0.000318                2.000000                 0.300000                 0.174533                 20                       8                        7                        
0.524029                 -0.238428                0.022113                 -0.524295                0.014495                 4.000000                 0.300000                 0.174533                 20                       8                        7                        
