roll-rate                pitch-rate               yaw-rate                 acc_x_NED                acc_y_NED                acc_z_NED                
0.000268                 0.016771                 0.000027                 -0.159381                0.002057                 -0.703184                
0.000264                 0.015404                 0.000028                 -0.144556                0.002067                 -0.717707                
0.000261                 0.013993                 0.000029                 -0.129814                0.002076                 -0.730507                
0.000258                 0.012545                 0.000030                 -0.115172                0.002086                 -0.741568                
0.000255                 0.011067                 0.000031                 -0.100649                0.002097                 -0.750878                
0.000252                 0.009564                 0.000033                 -0.086263                0.002108                 -0.758432                
0.000250                 0.008043                 0.000034                 -0.072033                0.002121                 -0.764231                
0.000248                 0.006509                 0.000036                 -0.057976                0.002134                 -0.768281                
0.000246                 0.004969                 0.000037                 -0.044110                0.002148                 -0.770594                
0.000244                 0.003427                 0.000038                 -0.030451                0.002163                 -0.771188                
0.000243                 0.001891                 0.000040                 -0.017017                0.002180                 -0.770084                
0.000242                 0.000364                 0.000041                 -0.003825                0.002198                 -0.767310                
0.000241                 -0.001148                0.000043                 0.009111                 0.002217                 -0.762897                
0.000240                 -0.002640                0.000044                 0.021773                 0.002237                 -0.756882                
0.000240                 -0.004107                0.000046                 0.034147                 0.002259                 -0.749306                
0.000240                 -0.005545                0.000047                 0.046217                 0.002282                 -0.740214                
0.000240                 -0.006949                0.000049                 0.057971                 0.002307                 -0.729654                
0.000241                 -0.008316                0.000050                 0.069393                 0.002333                 -0.717681                
0.000242                 -0.009641                0.000052                 0.080471                 0.002360                 -0.704349                
0.000243                 -0.010920                0.000053                 0.091192                 0.002389                 -0.689718                
0.000244                 -0.012150                0.000054                 0.101545                 0.002420                 -0.673850                
0.000245                 -0.013329                0.000055                 0.111517                 0.002451                 -0.656811                
0.000247                 -0.014452                0.000056                 0.121099                 0.002484                 -0.638669                
0.000249                 -0.015518                0.000057                 0.130281                 0.002519                 -0.619492                
0.000251                 -0.016523                0.000058                 0.139052                 0.002554                 -0.599353                
0.000253                 -0.017465                0.000059                 0.147405                 0.002591                 -0.578325                
0.000256                 -0.018344                0.000060                 0.155332                 0.002629                 -0.556484                
